time,Temperature,Humidity,AQ
20:30:01,26.8,66.0,282611.21
20:30:31,27.7,66.3,22551.02
20:31:01,27.8,65.8,23553.27
20:31:31,27.8,65.6,24599.06
20:32:01,27.7,66.0,25138.9
20:32:31,27.6,66.2,25690.37
20:33:01,27.6,66.5,26253.76
20:33:31,27.5,66.6,26540.0
20:34:01,27.5,66.6,27121.73
20:34:31,27.5,66.7,27121.73
20:35:01,27.6,66.7,27417.31
20:35:31,27.7,66.3,28018.04
20:36:01,27.5,66.3,28323.28
20:36:31,27.4,66.8,28631.8
20:37:02,27.4,66.9,28631.8
20:37:32,27.3,67.0,28943.65
20:38:02,27.3,67.0,29258.88
20:38:32,27.3,67.1,29258.88
20:39:02,27.3,67.1,29899.58
20:39:32,27.3,67.0,29577.5
20:40:02,27.3,67.0,29577.5
20:40:32,27.4,67.4,29899.58
20:41:02,27.4,67.1,29899.58
20:41:32,27.4,67.0,29899.58
20:42:02,27.4,66.9,29899.58
20:42:32,27.5,66.8,29899.58
20:43:02,27.4,66.8,29899.58
20:43:32,27.4,66.8,28943.65
20:44:02,27.4,66.9,28631.8
20:44:32,27.4,66.9,28631.8
20:45:02,27.4,66.8,28943.65
20:45:32,27.4,66.8,30225.16
20:46:02,27.4,66.9,30554.26
20:46:32,27.4,66.9,30886.91
20:47:02,27.5,66.7,31223.16
20:47:32,27.5,66.6,31563.08
20:48:02,27.5,66.5,31906.71
20:48:32,27.5,66.3,31906.71
20:49:02,27.5,66.3,31563.08
20:49:32,27.6,66.1,31223.16
20:50:02,27.5,66.3,31563.08
20:50:32,27.5,66.3,31563.08
20:51:02,27.5,66.3,31223.16
20:51:32,27.5,66.3,31563.08
20:52:02,27.5,66.3,31563.08
20:52:32,27.5,66.2,31563.08
20:53:02,27.5,66.2,31563.08
20:53:32,27.6,66.0,31563.08
20:54:02,27.6,65.9,31563.08
20:54:32,27.6,65.9,31563.08
20:55:03,27.5,65.9,31563.08
20:55:33,27.5,65.9,31223.16
20:56:03,27.5,65.9,31563.08
20:56:33,27.5,65.9,31563.08
20:57:03,27.5,65.9,31563.08
20:57:33,27.5,65.9,31563.08
20:58:03,27.5,66.0,31563.08
20:58:33,27.5,66.0,31906.71
20:59:03,27.5,66.1,31906.71
20:59:33,27.4,66.3,31563.08
21:00:03,27.3,66.6,31906.71
21:00:33,27.2,67.0,31906.71
